,Value,Feature
0,10765,model
1,7256,ip
2,7050,nginxtime
3,6157,h
4,6098,city
5,6028,imeimd5
6,5569,osv
7,5555,adidmd5
8,5533,adunitshowid
9,4497,reqrealip
10,4368,ver
11,4032,make
12,3811,mediashowid
13,3672,macmd5
14,2983,apptype
15,2594,pkgname
16,2145,w
17,1161,ppi
18,996,openudidmd5
19,954,lan
20,912,carrier
21,864,ntt
22,422,province
23,321,dvctype
24,160,orientation
25,87,os
26,10,idfamd5
